time,FLOW
2015-07-08,0.0248
2015-07-09,0.0248
2015-07-10,0.0248
2015-07-11,0.0248
2015-07-12,0.0248
2015-07-13,0.0248
2015-07-14,0.0248
2015-07-15,0.0248
2015-07-16,0.0248
2015-07-17,0.0248
2015-07-18,0.0248
2015-07-19,0.0248
2015-07-20,0.0248
2015-07-21,0.0248
2015-07-22,0.0248
2015-07-23,0.0248
2015-07-24,0.0248
2015-07-25,0.0248
2015-07-26,0.0248
2015-07-27,0.0248
2015-07-28,0.0248
2015-07-29,0.0248
2015-07-30,0.0248
2015-07-31,0.0248
2015-08-01,0.0248
2015-08-02,0.0248
2015-08-03,0.0248
2015-08-04,0.0248
2015-08-05,0.0248
2015-08-06,0.0248
2015-08-07,0.0248
2015-08-08,0.0248
