time,FLOW
2016-01-01 00:00:00,0.08349999
2016-01-02 00:00:00,0.08449999
2016-01-03 00:00:00,0.08249999
2016-01-04 00:00:00,0.08079999
2016-01-05 00:00:00,0.07799999
2016-01-06 00:00:00,0.07529999
2016-01-07 00:00:00,0.07169999
2016-01-08 00:00:00,0.06829999
2016-01-09 00:00:00,0.06719999
2016-01-10 00:00:00,0.07979999
2016-01-11 00:00:00,0.07929999
2016-01-12 00:00:00,0.07619999
2016-01-13 00:00:00,0.07439999
2016-01-14 00:00:00,0.06189999
2016-01-15 00:00:00,0.06059999
2016-01-16 00:00:00,0.07429999
2016-01-17 00:00:00,0.07269999
2016-01-18 00:00:00,0.07639999
2016-01-19 00:00:00,0.07669999
2016-01-20 00:00:00,0.05959999
2016-01-21 00:00:00,0.05429999
2016-01-22 00:00:00,0.05889999
2016-01-23 00:00:00,0.08659999
2016-01-24 00:00:00,0.08349999
2016-01-25 00:00:00,0.07259999
2016-01-26 00:00:00,0.06439999
2016-01-27 00:00:00,0.06219999
2016-01-28 00:00:00,0.06959999
2016-01-29 00:00:00,0.06299999
2016-01-30 00:00:00,0.05589999
2016-01-31 00:00:00,0.06029999
