time,FLOW
2015-07-08 00:00:00,0.04089999
2015-07-09 00:00:00,0.03999999
2015-07-10 00:00:00,0.03409999
2015-07-11 00:00:00,0.03149999
2015-07-12 00:00:00,0.02869999
2015-07-13 00:00:00,0.06469999
2015-07-14 00:00:00,0.07269999
2015-07-15 00:00:00,0.05969999
2015-07-16 00:00:00,0.04899999
2015-07-17 00:00:00,0.04309999
2015-07-18 00:00:00,0.04219999
2015-07-19 00:00:00,0.04199999
2015-07-20 00:00:00,0.03909999
2015-07-21 00:00:00,0.03429999
2015-07-22 00:00:00,0.02939999
2015-07-23 00:00:00,0.02599999
2015-07-24 00:00:00,0.02449999
2015-07-25 00:00:00,0.02319999
2015-07-26 00:00:00,0.02189999
2015-07-27 00:00:00,0.02069999
2015-07-28 00:00:00,0.02149999
2015-07-29 00:00:00,0.02959999
2015-07-30 00:00:00,0.02479999
2015-07-31 00:00:00,0.02279999
2015-08-01 00:00:00,0.02029999
2015-08-02 00:00:00,0.01829999
2015-08-03 00:00:00,0.01679999
2015-08-04 00:00:00,0.01549999
2015-08-05 00:00:00,0.01469999
2015-08-06 00:00:00,0.01349999
2015-08-07 00:00:00,0.01349999
2015-08-08 00:00:00,0.01309999
